School    ,Station,PC3,PC2,Cluster
The Urban Assembly School for Global Commerce - [HS] 05M157,125 St and Lexington Av,-2.97456334,8.297572,4
Eleanor Roosevelt High School - [HS] 02M416,72 St and 2nd Av,-1.53323032,10.380424,4
The Global Learning Collaborative - [HS] 03M403,86 St and Broadway,-0.45837067,9.415962,4
"High School for Law, Advocacy and Community Justice - [HS] 03M492",66 St-Lincoln Center,0.47609791,7.658066,1
High School for Environmental Studies - [HS] 02M400,59 St-Columbus Circle,-1.60345279,9.416352,4
Manhattan Bridges High School - [HS] 02M542,50 St and 8th Av,-0.1506017,11.053986,3
High School of Arts and Technology - [HS] 03M494,66 St-Lincoln Center,0.24006346,6.413108,1
Food and Finance High School - [HS] 02M288,50 St and 8th Av,0.15678596,7.159642,1
Frank McCourt High School - [HS] 03M417,86 St and Broadway,-0.24538779,9.256039,2
"New Explorations into Science, Technology and Math High School - [HS] 01M539",Delancey St-Essex St,-1.37855173,10.507605,4
Urban Assembly Maker Academy - [HS] 02M282,Brooklyn Bridge-City Hall,2.1050312,9.23571,2
The Clinton School - [HS] 02M260,14 St-Union Sq,-0.58762161,9.53314,4
Leadership and Public Service High School - [HS] 02M425,Rector St,-1.29316751,7.829406,1
"Urban Assembly School for Media Studies, The - [HS] 03M307",50 St and 8th Av,-0.24197102,9.801477,3
The High School for Climate Justice - [HS] 02M655,96 St and 2nd Av,-1.65862202,8.597907,4
A. Philip Randolph Campus High School - [HS] 06M540,135 St and St. Nicholas Av,-0.18326641,7.497668,1
47 The American Sign Language and English Secondary School - [HS] 02M047,23 St and Park Av S,1.1686998,9.750214,2
Special Music School - [HS] 03M859,66 St-Lincoln Center,-0.06732558,11.665816,3
Richard R. Green High School of Teaching - [HS] 02M580,Bowling Green,-0.36500676,9.234359,4
New Design High School - [HS] 02M543,Delancey St-Essex St,-1.19249697,9.331058,4
Academy for Software Engineering - [HS] 02M546,14 St-Union Sq,-0.92270977,9.645531,4
Millennium High School - [HS] 02M418,Broad St,1.08025596,9.080004,2
High School of Economics and Finance - [HS] 02M489,Rector St,-1.06329414,8.668137,1
Bard High School Early College - [HS] 01M696,Delancey St-Essex St,-1.17666962,9.911255,4
Repertory Company High School for Theatre Arts - [HS] 02M531,Times Sq-42 St,-1.31779507,9.277914,4
Quest to Learn - [HS] 02M422,14 St and 8 Av,0.90035841,8.300343,2
Central Park East High School - [HS] 04M555,103 St and Lexington,-0.55664391,10.978194,3
High School for Media and Communications - [HS] 06M463,191 St,-2.1323169,8.851961,4
Community Health Academy of the Heights - [HS] 06M346,157 St,-2.2689173,10.819967,4
The Maxine Greene HS for Imaginative Inquiry - [HS] 03M299,66 St-Lincoln Center,-0.05439816,8.038618,1
Young Women's Leadership School - [HS] 03M610,103 St and Broadway,-1.01424618,9.622445,4
Stephen T. Mather Building Arts & Craftsmanship High School - [HS] 02M139,50 St and 8th Av,-0.41018579,10.175495,3
High School of Hospitality Management - [HS] 02M296,50 St and 8th Av,0.0956444,7.276683,1
City College Academy of the Arts - [HS] 06M293,Dyckman St and Nagle Av,-1.8841726,8.612202,4
Stuyvesant High School - [HS] 02M475,Chambers St and West Broadway,-0.40708184,9.864484,3
High School for Health Careers and Sciences - [HS] 06M468,191 St,-2.16980671,9.287767,4
Talent Unlimited High School - [HS] 02M519,72 St and 2nd Av,-1.55625775,9.092005,4
Washington Heights Expeditionary Learning School - [HS] 06M348,181 St and St Nicholas Av,-1.99717913,10.130783,4
Landmark High School - [HS] 02M419,14 St and 8 Av,0.6158277,9.279803,2
Inwood Early College for Health and Information Technologies - [HS] 06M211,Dyckman St and Broadway,-1.46519683,8.19879,1
Wadleigh Secondary School for the Performing & Visual Arts - [HS] 03M415,116 St and Frederick Douglass Blvd,-0.34017317,7.598999,1
International High School at Union Square - [HS] 02M438,14 St-Union Sq,-1.04003623,9.876171,4
N.Y.C. Lab School for Collaborative Studies - [HS] 02M412,14 St and 8 Av,0.72590949,10.95445,3
Unity Center for Urban Technologies - [HS] 02M500,33 St,0.16207641,10.432134,3
School of the Future High School - [HS] 02M413,23 St and Park Av S,1.36254058,9.645134,2
The College Academy - [HS] 06M462,191 St,-2.14973895,10.077486,4
The High School of Fashion Industries - [HS] 02M600,23 St and 8th Av,0.46955385,10.036279,2
High School for Law and Public Service - [HS] 06M46,191 St,-2.00988175,7.849149,1
Manhattan Business Academy - [HS] 02M392,14 St and 8 Av,0.65028658,11.422317,3
Thurgood Marshall Academy for Learning and Social Change - [HS] 05M670,135 St and Lenox Av,-1.00579438,8.813364,4
"Heritage School, The - [HS] 04M680",103 St and Lexington,-0.66600644,8.149781,1
Essex Street Academy - [HS] 02M294,Delancey St-Essex St,-1.3985271,10.983494,3
Vanguard High School - [HS] 02M449,72 St and 2nd Av,-1.70978564,9.137505,4
Manhattan / Hunter Science High School - [HS] 03M541,66 St-Lincoln Center,0.23679118,9.756209,2
Park East High School - [HS] 04M495,103 St and Lexington,-0.64896099,10.4836,3
The High School For Language And Diplomacy - [HS] 02M399,14 St-Union Sq,-1.07871643,8.618976,1
Esperanza Preparatory Academy - [HS] 04M372,110 St,-0.48769875,8.541499,1
Manhattan International High School - [HS] 02M459,68 St-Hunter College,-0.33011691,10.863959,3
Business Of Sports School - [HS] 02M393,50 St and 8th Av,-0.11044535,8.972695,2
Frederick Douglass Academy II Secondary School - [HS] 03M860,116 St and Frederick Douglass Blvd,-0.37260102,8.118428,1
Manhattan Academy For Arts & Language - [HS] 02M427,33 St,0.24299991,10.567865,3
Union Square Academy for Health Sciences - [HS] 02M533,14 St-Union Sq,-0.62296962,9.752266,4
The Urban Assembly School for Emergency Management - [HS] 02M135,Brooklyn Bridge-City Hall,2.28606033,8.683731,2
Lower Manhattan Arts Academy - [HS] 02M308,Spring St and Lafayette,1.28740076,8.583875,2
Jacqueline Kennedy Onassis High School - [HS] 02M529,47-50 Sts-Rockefeller Ctr,-0.13774937,8.578335,1
Baruch College Campus High School - [HS] 02M411,23 St and Park Av S,1.25972811,9.887028,2
,Station,,,
,Broad St,,,
,Harlem-148 St,,,
,18 St,,,
,14 St-Union Sq,,,
,Spring St and 6th Av,,,
,66 St-Lincoln Center,,,
,116 St and Lexington Av,,,
,137 St-City College,,,
,42 St-Port Authority Bus Terminal,,,
,50 St and 8th Av,,,
,135 St and St. Nicholas Av,,,
,14 St and 8 Av,,,
,135 St and St. Nicholas Av,,,
,Lexington Av/53 St,,,
,Spring St and 6th Av,,,
,Delancey St-Essex St,,,
,125 St and Broadway,,,
,50 St and 8th Av,,,
,168 St,,,
,86 St and Broadway,,,
,135 St and Lenox Av,,,
,Grand St,,,
,33 St,,,
,50 St and 8th Av,,,
,125 St and Lexington Av,,,
,72 St and 2nd Av,,,
,86 St and Broadway,,,
,66 St-Lincoln Center,,,
,59 St-Columbus Circle,,,
,50 St and 8th Av,,,
,66 St-Lincoln Center,,,
,50 St and 8th Av,,,
,86 St and Broadway,,,
,Delancey St-Essex St,,,
,Brooklyn Bridge-City Hall,,,
,14 St-Union Sq,,,
,Rector St,,,
,50 St and 8th Av,,,
,96 St and 2nd Av,,,
,135 St and St. Nicholas Av,,,
,23 St and Park Av S,,,
,66 St-Lincoln Center,,,
,Bowling Green,,,
,Delancey St-Essex St,,,
,14 St-Union Sq,,,
,Broad St,,,
,Rector St,,,
,Delancey St-Essex St,,,
,Times Sq-42 St,,,
,14 St and 8 Av,,,
,103 St and Lexington,,,
,191 St,,,
,157 St,,,
,66 St-Lincoln Center,,,
,103 St and Broadway,,,
,50 St and 8th Av,,,
,50 St and 8th Av,,,
,Dyckman St and Nagle Av,,,
,Chambers St and West Broadway,,,
,191 St,,,
,72 St and 2nd Av,,,
,181 St and St Nicholas Av,,,
,14 St and 8 Av,,,
,Dyckman St and Broadway,,,
,116 St and Frederick Douglass Blvd,,,
,14 St-Union Sq,,,
,14 St and 8 Av,,,
,33 St,,,
,23 St and Park Av S,,,
,191 St,,,
,23 St and 8th Av,,,
,191 St,,,
,14 St and 8 Av,,,
,135 St and Lenox Av,,,
,103 St and Lexington,,,
,Delancey St-Essex St,,,
,72 St and 2nd Av,,,
,66 St-Lincoln Center,,,
,103 St and Lexington,,,
,14 St-Union Sq,,,
,110 St,,,
,68 St-Hunter College,,,
,50 St and 8th Av,,,
,116 St and Frederick Douglass Blvd,,,
,33 St,,,
,14 St-Union Sq,,,
,Brooklyn Bridge-City Hall,,,
,Spring St and Lafayette,,,
,47-50 Sts-Rockefeller Ctr,,,
,23 St and Park Av S,,,
,Station,,,
,Broad St,,,
,Harlem-148 St,,,
,18 St,,,
,14 St-Union Sq,,,
,Spring St and 6th Av,,,
,66 St-Lincoln Center,,,
,116 St and Lexington Av,,,
,137 St-City College,,,
,42 St-Port Authority Bus Terminal,,,
,50 St and 8th Av,,,
,135 St and St. Nicholas Av,,,
,14 St and 8 Av,,,
,135 St and St. Nicholas Av,,,
,Lexington Av/53 St,,,
,Spring St and 6th Av,,,
,Delancey St-Essex St,,,
,125 St and Broadway,,,
,50 St and 8th Av,,,
,168 St,,,
,86 St and Broadway,,,
,135 St and Lenox Av,,,
,Grand St,,,
,33 St,,,
,50 St and 8th Av,,,
,125 St and Lexington Av,,,
,72 St and 2nd Av,,,
,86 St and Broadway,,,
,66 St-Lincoln Center,,,
,59 St-Columbus Circle,,,
,50 St and 8th Av,,,
,66 St-Lincoln Center,,,
,50 St and 8th Av,,,
,86 St and Broadway,,,
,Delancey St-Essex St,,,
,Brooklyn Bridge-City Hall,,,
,14 St-Union Sq,,,
,Rector St,,,
,50 St and 8th Av,,,
,96 St and 2nd Av,,,
,135 St and St. Nicholas Av,,,
,23 St and Park Av S,,,
,66 St-Lincoln Center,,,
,Bowling Green,,,
,Delancey St-Essex St,,,
,14 St-Union Sq,,,
,Broad St,,,
,Rector St,,,
,Delancey St-Essex St,,,
,Times Sq-42 St,,,
,14 St and 8 Av,,,
,103 St and Lexington,,,
,191 St,,,
,157 St,,,
,66 St-Lincoln Center,,,
,103 St and Broadway,,,
,50 St and 8th Av,,,
,50 St and 8th Av,,,
,Dyckman St and Nagle Av,,,
,Chambers St and West Broadway,,,
,191 St,,,
,72 St and 2nd Av,,,
,181 St and St Nicholas Av,,,
,14 St and 8 Av,,,
,Dyckman St and Broadway,,,
,116 St and Frederick Douglass Blvd,,,
,14 St-Union Sq,,,
,14 St and 8 Av,,,
,33 St,,,
,23 St and Park Av S,,,
,191 St,,,
,23 St and 8th Av,,,
,191 St,,,
,14 St and 8 Av,,,
,135 St and Lenox Av,,,
,103 St and Lexington,,,
,Delancey St-Essex St,,,
,72 St and 2nd Av,,,
,66 St-Lincoln Center,,,
,103 St and Lexington,,,
,14 St-Union Sq,,,
,110 St,,,
,68 St-Hunter College,,,
,50 St and 8th Av,,,
,116 St and Frederick Douglass Blvd,,,
,33 St,,,
,14 St-Union Sq,,,
,Brooklyn Bridge-City Hall,,,
,Spring St and Lafayette,,,
,47-50 Sts-Rockefeller Ctr,,,
,23 St and Park Av S,,,
,Station,,,
,Broad St,,,
,Harlem-148 St,,,
,18 St,,,
,14 St-Union Sq,,,
,Spring St and 6th Av,,,
,66 St-Lincoln Center,,,
,116 St and Lexington Av,,,
,137 St-City College,,,
,42 St-Port Authority Bus Terminal,,,
,50 St and 8th Av,,,
,135 St and St. Nicholas Av,,,
,14 St and 8 Av,,,
,135 St and St. Nicholas Av,,,
,Lexington Av/53 St,,,
,Spring St and 6th Av,,,
,Delancey St-Essex St,,,
,125 St and Broadway,,,
,50 St and 8th Av,,,
,168 St,,,
,86 St and Broadway,,,
,135 St and Lenox Av,,,
,Grand St,,,
,33 St,,,
,50 St and 8th Av,,,
,125 St and Lexington Av,,,
,72 St and 2nd Av,,,
,86 St and Broadway,,,
,66 St-Lincoln Center,,,
,59 St-Columbus Circle,,,
,50 St and 8th Av,,,
,66 St-Lincoln Center,,,
,50 St and 8th Av,,,
,86 St and Broadway,,,
,Delancey St-Essex St,,,
,Brooklyn Bridge-City Hall,,,
,14 St-Union Sq,,,
,Rector St,,,
,50 St and 8th Av,,,
,96 St and 2nd Av,,,
,135 St and St. Nicholas Av,,,
,23 St and Park Av S,,,
,66 St-Lincoln Center,,,
,Bowling Green,,,
,Delancey St-Essex St,,,
,14 St-Union Sq,,,
,Broad St,,,
,Rector St,,,
,Delancey St-Essex St,,,
,Times Sq-42 St,,,
,14 St and 8 Av,,,
,103 St and Lexington,,,
,191 St,,,
,157 St,,,
,66 St-Lincoln Center,,,
,103 St and Broadway,,,
,50 St and 8th Av,,,
,50 St and 8th Av,,,
,Dyckman St and Nagle Av,,,
,Chambers St and West Broadway,,,
,191 St,,,
,72 St and 2nd Av,,,
,181 St and St Nicholas Av,,,
,14 St and 8 Av,,,
,Dyckman St and Broadway,,,
,116 St and Frederick Douglass Blvd,,,
,14 St-Union Sq,,,
,14 St and 8 Av,,,
,33 St,,,
,23 St and Park Av S,,,
,191 St,,,
,23 St and 8th Av,,,
,191 St,,,
,14 St and 8 Av,,,
,135 St and Lenox Av,,,
,103 St and Lexington,,,
,Delancey St-Essex St,,,
,72 St and 2nd Av,,,
,66 St-Lincoln Center,,,
,103 St and Lexington,,,
,14 St-Union Sq,,,
,110 St,,,
,68 St-Hunter College,,,
,50 St and 8th Av,,,
,116 St and Frederick Douglass Blvd,,,
,33 St,,,
,14 St-Union Sq,,,
,Brooklyn Bridge-City Hall,,,
,Spring St and Lafayette,,,
,47-50 Sts-Rockefeller Ctr,,,
,23 St and Park Av S,,,
,Station,,,
,Broad St,,,
,Harlem-148 St,,,
,18 St,,,
,14 St-Union Sq,,,
,Spring St and 6th Av,,,
,66 St-Lincoln Center,,,
,116 St and Lexington Av,,,
,137 St-City College,,,
,42 St-Port Authority Bus Terminal,,,
,50 St and 8th Av,,,
,135 St and St. Nicholas Av,,,
,14 St and 8 Av,,,
,135 St and St. Nicholas Av,,,
,Lexington Av/53 St,,,
,Spring St and 6th Av,,,
,Delancey St-Essex St,,,
,125 St and Broadway,,,
,50 St and 8th Av,,,
,168 St,,,
,86 St and Broadway,,,
,135 St and Lenox Av,,,
,Grand St,,,
,33 St,,,
,50 St and 8th Av,,,
,125 St and Lexington Av,,,
,72 St and 2nd Av,,,
,86 St and Broadway,,,
,66 St-Lincoln Center,,,
,59 St-Columbus Circle,,,
,50 St and 8th Av,,,
,66 St-Lincoln Center,,,
,50 St and 8th Av,,,
,86 St and Broadway,,,
,Delancey St-Essex St,,,
,Brooklyn Bridge-City Hall,,,
,14 St-Union Sq,,,
,Rector St,,,
,50 St and 8th Av,,,
,96 St and 2nd Av,,,
,135 St and St. Nicholas Av,,,
,23 St and Park Av S,,,
,66 St-Lincoln Center,,,
,Bowling Green,,,
,Delancey St-Essex St,,,
,14 St-Union Sq,,,
,Broad St,,,
,Rector St,,,
,Delancey St-Essex St,,,
,Times Sq-42 St,,,
,14 St and 8 Av,,,
,103 St and Lexington,,,
,191 St,,,
,157 St,,,
,66 St-Lincoln Center,,,
,103 St and Broadway,,,
,50 St and 8th Av,,,
,50 St and 8th Av,,,
,Dyckman St and Nagle Av,,,
,Chambers St and West Broadway,,,
,191 St,,,
,72 St and 2nd Av,,,
,181 St and St Nicholas Av,,,
,14 St and 8 Av,,,
,Dyckman St and Broadway,,,
,116 St and Frederick Douglass Blvd,,,
,14 St-Union Sq,,,
,14 St and 8 Av,,,
,33 St,,,
,23 St and Park Av S,,,
,191 St,,,
,23 St and 8th Av,,,
,191 St,,,
,14 St and 8 Av,,,
,135 St and Lenox Av,,,
,103 St and Lexington,,,
,Delancey St-Essex St,,,
,72 St and 2nd Av,,,
,66 St-Lincoln Center,,,
,103 St and Lexington,,,
,14 St-Union Sq,,,
,110 St,,,
,68 St-Hunter College,,,
,50 St and 8th Av,,,
,116 St and Frederick Douglass Blvd,,,
,33 St,,,
,14 St-Union Sq,,,
,Brooklyn Bridge-City Hall,,,
,Spring St and Lafayette,,,
,47-50 Sts-Rockefeller Ctr,,,
,23 St and Park Av S,,,
,Station,,,
,Broad St,,,
,Harlem-148 St,,,
,18 St,,,
,14 St-Union Sq,,,
,Spring St and 6th Av,,,
,66 St-Lincoln Center,,,
,116 St and Lexington Av,,,
,137 St-City College,,,
,42 St-Port Authority Bus Terminal,,,
,50 St and 8th Av,,,
,135 St and St. Nicholas Av,,,
,14 St and 8 Av,,,
,135 St and St. Nicholas Av,,,
,Lexington Av/53 St,,,
,Spring St and 6th Av,,,
,Delancey St-Essex St,,,
,125 St and Broadway,,,
,50 St and 8th Av,,,
,168 St,,,
,86 St and Broadway,,,
,135 St and Lenox Av,,,
,Grand St,,,
,33 St,,,
,50 St and 8th Av,,,
,125 St and Lexington Av,,,
,72 St and 2nd Av,,,
,86 St and Broadway,,,
,66 St-Lincoln Center,,,
,59 St-Columbus Circle,,,
,50 St and 8th Av,,,
,66 St-Lincoln Center,,,
,50 St and 8th Av,,,
,86 St and Broadway,,,
,Delancey St-Essex St,,,
,Brooklyn Bridge-City Hall,,,
,14 St-Union Sq,,,
,Rector St,,,
,50 St and 8th Av,,,
,96 St and 2nd Av,,,
,135 St and St. Nicholas Av,,,
,23 St and Park Av S,,,
,66 St-Lincoln Center,,,
,Bowling Green,,,
,Delancey St-Essex St,,,
,14 St-Union Sq,,,
,Broad St,,,
,Rector St,,,
,Delancey St-Essex St,,,
,Times Sq-42 St,,,
,14 St and 8 Av,,,
,103 St and Lexington,,,
,191 St,,,
,157 St,,,
,66 St-Lincoln Center,,,
,103 St and Broadway,,,
,50 St and 8th Av,,,
,50 St and 8th Av,,,
,Dyckman St and Nagle Av,,,
,Chambers St and West Broadway,,,
,191 St,,,
,72 St and 2nd Av,,,
,181 St and St Nicholas Av,,,
,14 St and 8 Av,,,
,Dyckman St and Broadway,,,
,116 St and Frederick Douglass Blvd,,,
,14 St-Union Sq,,,
,14 St and 8 Av,,,
,33 St,,,
,23 St and Park Av S,,,
,191 St,,,
,23 St and 8th Av,,,
,191 St,,,
,14 St and 8 Av,,,
,135 St and Lenox Av,,,
,103 St and Lexington,,,
,Delancey St-Essex St,,,
,72 St and 2nd Av,,,
,66 St-Lincoln Center,,,
,103 St and Lexington,,,
,14 St-Union Sq,,,
,110 St,,,
,68 St-Hunter College,,,
,50 St and 8th Av,,,
,116 St and Frederick Douglass Blvd,,,
,33 St,,,
,14 St-Union Sq,,,
,Brooklyn Bridge-City Hall,,,
,Spring St and Lafayette,,,
,47-50 Sts-Rockefeller Ctr,,,
,23 St and Park Av S,,,
,Station,,,
,Broad St,,,
,Harlem-148 St,,,
,18 St,,,
,14 St-Union Sq,,,
,Spring St and 6th Av,,,
,66 St-Lincoln Center,,,
,116 St and Lexington Av,,,
,137 St-City College,,,
,42 St-Port Authority Bus Terminal,,,
,50 St and 8th Av,,,
,135 St and St. Nicholas Av,,,
,14 St and 8 Av,,,
,135 St and St. Nicholas Av,,,
,Lexington Av/53 St,,,
,Spring St and 6th Av,,,
,Delancey St-Essex St,,,
,125 St and Broadway,,,
,50 St and 8th Av,,,
,168 St,,,
,86 St and Broadway,,,
,135 St and Lenox Av,,,
,Grand St,,,
,33 St,,,
,50 St and 8th Av,,,
,125 St and Lexington Av,,,
,72 St and 2nd Av,,,
,86 St and Broadway,,,
,66 St-Lincoln Center,,,
,59 St-Columbus Circle,,,
,50 St and 8th Av,,,
,66 St-Lincoln Center,,,
,50 St and 8th Av,,,
,86 St and Broadway,,,
,Delancey St-Essex St,,,
,Brooklyn Bridge-City Hall,,,
,14 St-Union Sq,,,
,Rector St,,,
,50 St and 8th Av,,,
,96 St and 2nd Av,,,
,135 St and St. Nicholas Av,,,
,23 St and Park Av S,,,
,66 St-Lincoln Center,,,
,Bowling Green,,,
,Delancey St-Essex St,,,
,14 St-Union Sq,,,
,Broad St,,,
,Rector St,,,
,Delancey St-Essex St,,,
,Times Sq-42 St,,,
,14 St and 8 Av,,,
,103 St and Lexington,,,
,191 St,,,
,157 St,,,
,66 St-Lincoln Center,,,
,103 St and Broadway,,,
,50 St and 8th Av,,,
,50 St and 8th Av,,,
,Dyckman St and Nagle Av,,,
,Chambers St and West Broadway,,,
,191 St,,,
,72 St and 2nd Av,,,
,181 St and St Nicholas Av,,,
,14 St and 8 Av,,,
,Dyckman St and Broadway,,,
,116 St and Frederick Douglass Blvd,,,
,14 St-Union Sq,,,
,14 St and 8 Av,,,
,33 St,,,
,23 St and Park Av S,,,
,191 St,,,
,23 St and 8th Av,,,
,191 St,,,
,14 St and 8 Av,,,
,135 St and Lenox Av,,,
,103 St and Lexington,,,
,Delancey St-Essex St,,,
,72 St and 2nd Av,,,
,66 St-Lincoln Center,,,
,103 St and Lexington,,,
,14 St-Union Sq,,,
,110 St,,,
,68 St-Hunter College,,,
,50 St and 8th Av,,,
,116 St and Frederick Douglass Blvd,,,
,33 St,,,
,14 St-Union Sq,,,
,Brooklyn Bridge-City Hall,,,
,Spring St and Lafayette,,,
,47-50 Sts-Rockefeller Ctr,,,
,23 St and Park Av S,,,
,Station,,,
,Broad St,,,
,Harlem-148 St,,,
,18 St,,,
,14 St-Union Sq,,,
,Spring St and 6th Av,,,
,66 St-Lincoln Center,,,
,116 St and Lexington Av,,,
,137 St-City College,,,
,42 St-Port Authority Bus Terminal,,,
,50 St and 8th Av,,,
,135 St and St. Nicholas Av,,,
,14 St and 8 Av,,,
,135 St and St. Nicholas Av,,,
,Lexington Av/53 St,,,
,Spring St and 6th Av,,,
,Delancey St-Essex St,,,
,125 St and Broadway,,,
,50 St and 8th Av,,,
,168 St,,,
,86 St and Broadway,,,
,135 St and Lenox Av,,,
,Grand St,,,
,33 St,,,
,50 St and 8th Av,,,
,125 St and Lexington Av,,,
,72 St and 2nd Av,,,
,86 St and Broadway,,,
,66 St-Lincoln Center,,,
,59 St-Columbus Circle,,,
,50 St and 8th Av,,,
,66 St-Lincoln Center,,,
,50 St and 8th Av,,,
,86 St and Broadway,,,
,Delancey St-Essex St,,,
,Brooklyn Bridge-City Hall,,,
,14 St-Union Sq,,,
,Rector St,,,
,50 St and 8th Av,,,
,96 St and 2nd Av,,,
,135 St and St. Nicholas Av,,,
,23 St and Park Av S,,,
,66 St-Lincoln Center,,,
,Bowling Green,,,
,Delancey St-Essex St,,,
,14 St-Union Sq,,,
,Broad St,,,
,Rector St,,,
,Delancey St-Essex St,,,
,Times Sq-42 St,,,
,14 St and 8 Av,,,
,103 St and Lexington,,,
,191 St,,,
,157 St,,,
,66 St-Lincoln Center,,,
,103 St and Broadway,,,
,50 St and 8th Av,,,
,50 St and 8th Av,,,
,Dyckman St and Nagle Av,,,
,Chambers St and West Broadway,,,
,191 St,,,
,72 St and 2nd Av,,,
,181 St and St Nicholas Av,,,
,14 St and 8 Av,,,
,Dyckman St and Broadway,,,
,116 St and Frederick Douglass Blvd,,,
,14 St-Union Sq,,,
,14 St and 8 Av,,,
,33 St,,,
,23 St and Park Av S,,,
,191 St,,,
,23 St and 8th Av,,,
,191 St,,,
,14 St and 8 Av,,,
,135 St and Lenox Av,,,
,103 St and Lexington,,,
,Delancey St-Essex St,,,
,72 St and 2nd Av,,,
,66 St-Lincoln Center,,,
,103 St and Lexington,,,
,14 St-Union Sq,,,
,110 St,,,
,68 St-Hunter College,,,
,50 St and 8th Av,,,
,116 St and Frederick Douglass Blvd,,,
,33 St,,,
,14 St-Union Sq,,,
,Brooklyn Bridge-City Hall,,,
,Spring St and Lafayette,,,
,47-50 Sts-Rockefeller Ctr,,,
,23 St and Park Av S,,,
,Station,,,
,Broad St,,,
,Harlem-148 St,,,
,18 St,,,
,14 St-Union Sq,,,
,Spring St and 6th Av,,,
,66 St-Lincoln Center,,,
,116 St and Lexington Av,,,
,137 St-City College,,,
,42 St-Port Authority Bus Terminal,,,
,50 St and 8th Av,,,
,135 St and St. Nicholas Av,,,
,14 St and 8 Av,,,
,135 St and St. Nicholas Av,,,
,Lexington Av/53 St,,,
,Spring St and 6th Av,,,
,Delancey St-Essex St,,,
,125 St and Broadway,,,
,50 St and 8th Av,,,
,168 St,,,
,86 St and Broadway,,,
,135 St and Lenox Av,,,
,Grand St,,,
,33 St,,,
,50 St and 8th Av,,,
,125 St and Lexington Av,,,
,72 St and 2nd Av,,,
,86 St and Broadway,,,
,66 St-Lincoln Center,,,
,59 St-Columbus Circle,,,
,50 St and 8th Av,,,
,66 St-Lincoln Center,,,
,50 St and 8th Av,,,
,86 St and Broadway,,,
,Delancey St-Essex St,,,
,Brooklyn Bridge-City Hall,,,
,14 St-Union Sq,,,
,Rector St,,,
,50 St and 8th Av,,,
,96 St and 2nd Av,,,
,135 St and St. Nicholas Av,,,
,23 St and Park Av S,,,
,66 St-Lincoln Center,,,
,Bowling Green,,,
,Delancey St-Essex St,,,
,14 St-Union Sq,,,
,Broad St,,,
,Rector St,,,
,Delancey St-Essex St,,,
,Times Sq-42 St,,,
,14 St and 8 Av,,,
,103 St and Lexington,,,
,191 St,,,
,157 St,,,
,66 St-Lincoln Center,,,
,103 St and Broadway,,,
,50 St and 8th Av,,,
,50 St and 8th Av,,,
,Dyckman St and Nagle Av,,,
,Chambers St and West Broadway,,,
,191 St,,,
,72 St and 2nd Av,,,
,181 St and St Nicholas Av,,,
,14 St and 8 Av,,,
,Dyckman St and Broadway,,,
,116 St and Frederick Douglass Blvd,,,
,14 St-Union Sq,,,
,14 St and 8 Av,,,
,33 St,,,
,23 St and Park Av S,,,
,191 St,,,
,23 St and 8th Av,,,
,191 St,,,
,14 St and 8 Av,,,
,135 St and Lenox Av,,,
,103 St and Lexington,,,
,Delancey St-Essex St,,,
